number,category,concept,question,choice1,choice2,choice3,choice4,answer,explanation,translation,hint
37,문장삽입형,문장 삽입-지시어 that shared meaning: 동일한 단어의 해석 차이 뒤에 공유 의미의 필요성을 넣는 문제.,"주어진 문장이 들어가기 가장 적절한 곳을 고르시오.
[주어진 문장]
Without that shared meaning, the same words may lead to different actions.
Rules guide behavior only when people understand what the rules require. ( [1] ) A workplace may post a policy about respectful communication. ( [2] ) If employees interpret the word respectful in conflicting ways, the policy may not guide conduct effectively. ( [3] ) Training and examples can help turn a written rule into a common standard. ( [4] )",[1],[2],[3],[4],3,"같은 단어를 서로 다르게 해석할 수 있다는 내용 뒤에, 공유된 의미가 없으면 같은 말도 다른 행동으로 이어질 수 있다는 문장이 들어가는 것이 자연스럽다.",규칙은 사람들이 그것이 요구하는 바를 이해할 때에만 행동을 이끌 수 있다. 한 직장이 '존중하는 의사소통'에 관한 정책을 게시했다고 하자. 직원들이 '존중하는'이라는 말을 서로 다르게 해석한다면 그 정책은 행동을 제대로 이끌지 못할 수 있다. 그런 공유된 의미가 없으면 같은 말도 서로 다른 행동으로 이어질 수 있다. 교육과 예시는 문서화된 규칙을 공동의 기준으로 바꾸는 데 도움이 될 수 있다.,that shared meaning은 앞에서 이미 ‘공유된 의미’가 왜 필요한지 짐작할 수 있는 상황 뒤에 옵니다.
38,문장삽입형,문장 삽입-결론 연결: 불만을 제기하지 않는 이유 뒤에 “불만이 없다고 만족을 뜻하지는 않는다”는 결론을 넣는 문제.,"주어진 문장이 들어가기 가장 적절한 곳을 고르시오.
[주어진 문장]
For this reason, the absence of a complaint is not always evidence of satisfaction.
Consumers who are dissatisfied do not always complain. ( [1] ) Some think the process will take too much time. ( [2] ) Others believe that nothing will change even if they speak up. ( [3] ) Companies should therefore examine usage patterns and repeat cancellations as well as formal complaints. ( [4] )",[1],[2],[3],[4],3,"불만을 제기하지 않는 이유들을 설명한 뒤, 불만 없음이 만족의 증거가 아니라는 결론이 와야 한다.",불만이 있는 소비자라도 항상 항의를 하는 것은 아니다. 어떤 이들은 그 과정이 너무 오래 걸릴 것이라고 생각한다. 또 다른 이들은 말해봐야 아무것도 바뀌지 않을 것이라 믿는다. 이런 이유로 불만이 없다는 사실이 곧 만족의 증거는 아니다. 따라서 기업은 정식으로 제기된 불만뿐 아니라 이용 패턴이나 반복적인 해지도 함께 살펴보아야 한다.,여러 이유가 제시된 뒤 absence of a complaint를 일반화해 정리하는 문장이 어울립니다.
39,문장삽입형,문장 삽입-AI 편리함과 판단의 대조: AI 검색의 장점 뒤에 전문적 판단 대체의 위험을 연결하는 문제.,"주어진 문장이 들어가기 가장 적절한 곳을 고르시오.
[주어진 문장]
The problem arises when such convenience becomes a substitute for judgment.
Artificial intelligence can help lawyers search thousands of documents quickly. ( [1] ) It can identify patterns that might take humans many hours to notice. ( [2] ) However, legal decisions also require context, values, and responsibility. ( [3] ) A tool may assist reasoning, but it should not replace the professional duty to evaluate evidence carefully. ( [4] )",[1],[2],[3],[4],2,"AI의 편리함을 설명한 뒤, 그 편리함이 판단을 대체할 때 문제가 된다는 문장이 들어가고 이어서 법적 판단에 필요한 요소가 제시된다.","인공지능은 변호사가 수천 건의 문서를 빠르게 검색하도록 도울 수 있다. 사람이 알아차리려면 오랜 시간이 걸릴 패턴도 찾아낼 수 있다. 문제는 이러한 편리함이 사람의 판단을 대신하게 될 때 생긴다. 법적 결정에는 맥락과 가치, 책임도 함께 필요하기 때문이다. 도구는 추론을 도울 수 있지만, 증거를 신중하게 평가해야 하는 전문적 의무를 대체해서는 안 된다.",such convenience가 받을 수 있는 앞 내용은 AI가 빠르게 문서를 찾는 장점입니다.
40,문장삽입형,문장 삽입-침묵과 합의 오해: 하급자가 말하지 않는 이유와 만장일치처럼 보이는 결과를 연결하는 문제.,"주어진 문장이 들어가기 가장 적절한 곳을 고르시오.
[주어진 문장]
That silence can be mistaken for agreement.
In a meeting, junior members may avoid expressing disagreement with senior officials. ( [1] ) They may fear that criticism will be viewed as disloyal. ( [2] ) As a result, a plan may appear to have unanimous support even when several people privately doubt it. ( [3] ) Leaders who want accurate information must actively invite different views. ( [4] )",[1],[2],[3],[4],2,"하급 구성원이 침묵하는 이유를 설명한 뒤, 그 침묵이 동의로 오해될 수 있다는 문장이 오고 그 결과 계획이 만장일치처럼 보인다는 내용으로 이어진다.",회의에서 하급 직원들은 상급자와 다른 의견을 내기를 꺼릴 수 있다. 비판이 불충으로 보일까 걱정하기 때문이다. 그런 침묵은 동의로 잘못 받아들여지기도 한다. 그 결과 몇몇이 속으로는 의심하고 있어도 계획이 만장일치로 지지받는 것처럼 보일 수 있다. 정확한 정보를 원하는 리더라면 서로 다른 의견을 적극적으로 이끌어내야 한다.,silence가 무엇을 가리키는지 먼저 찾아보세요. 그 침묵이 뒤에서 어떤 모습으로 오해되는지가 이어집니다.
41,요약·주제형,"주제 파악: 도시 나무가 미관을 넘어 냉각, 빗물 흡수, 대기질, 건강에 주는 공익을 찾는 문제.","다음 글의 주제로 가장 적절한 것은?
Cities often plant trees to make streets more attractive, but the benefits go beyond appearance. Trees cool sidewalks, absorb rainwater, reduce air pollution, and provide small habitats for birds and insects. In neighborhoods with little shade, planting trees can also reduce heat-related health risks for older residents.",the multiple public benefits of urban trees,the history of private gardening,the cost of indoor decoration,the decline of rural transportation,1,도시 나무의 다양한 공익적 효과가 글의 중심이다.,"도시는 흔히 거리를 더 보기 좋게 만들려고 나무를 심지만, 그 효과는 외관을 넘어선다. 나무는 보도를 시원하게 하고 빗물을 흡수하며 대기 오염을 줄이고 새와 곤충에게 작은 서식지를 제공한다. 그늘이 적은 동네에서는 나무를 심는 것이 고령 주민의 폭염 관련 건강 위험을 낮추는 데도 도움이 될 수 있다.",appearance를 넘어서는 benefits가 여러 개 나열됩니다. 한 가지 효과만 고르면 좁습니다.
42,요약·주제형,요지 파악: 기술의 사회적 효과가 설계·통제·규칙에 따라 달라진다는 핵심을 찾는 문제.,"다음 글의 요지로 가장 적절한 것은?
When a new technology appears, people often ask whether it is good or bad. But the better question may be how it is designed, who controls it, and what rules guide its use. The same tool can expand access in one setting and increase inequality in another.",All technologies produce the same results everywhere.,The social effect of technology depends on its design and governance.,New technology should always be rejected immediately.,Only experts can understand technological change.,2,"기술의 효과는 설계, 통제, 규칙에 따라 달라진다는 요지이다.","새로운 기술이 등장하면 사람들은 흔히 그것이 좋은지 나쁜지를 묻는다. 그러나 더 나은 질문은 그것이 어떻게 설계되었는지, 누가 그것을 통제하는지, 어떤 규칙이 그 사용을 이끄는지일 수 있다. 같은 도구라도 어떤 환경에서는 접근성을 넓히고, 다른 환경에서는 불평등을 키울 수 있다.","good or bad보다 how, who, what rules에 초점이 있습니다. 기술 자체보다 운영 조건을 보세요."
43,요약·주제형,요약 빈칸: 작은 반복 행동이 자기효능감과 추가 노력을 만든다는 핵심 개념을 찾는 문제.,"다음 글의 내용을 한 문장으로 요약할 때 빈칸에 들어갈 말로 가장 적절한 것은?
People often assume that confidence comes after success. In reality, modest actions can create confidence before major success arrives. A student who studies for twenty minutes daily may begin to see herself as disciplined, and that identity then supports longer study.
⇒ Small repeated actions can build a sense of ______ that encourages further effort.",physical hunger,legal ownership,self-efficacy,geographical distance,3,작은 반복 행동이 자신이 할 수 있다는 믿음을 형성한다는 내용이다.,"사람들은 흔히 자신감이 성공 뒤에 따라온다고 생각한다. 그러나 실제로는 작은 행동이 큰 성공에 앞서 자신감을 만들어 낼 수 있다. 매일 20분씩 공부하는 학생은 스스로를 성실한 사람으로 여기게 되고, 그런 정체성이 이후 더 긴 공부를 뒷받침한다.",작은 행동이 ‘나는 할 수 있다’는 믿음을 만들고 그 믿음이 노력을 강화합니다.
44,요약·주제형,내용 불일치: 조정자가 판결을 강제하지 않고 대화를 돕는다는 내용을 확인하는 문제.,"다음 글의 내용과 일치하지 않는 것은?
Community mediation does not replace courts in every dispute. It is usually used when parties want to preserve a relationship, such as neighbors or family members. A mediator does not impose a judgment; instead, the mediator helps parties communicate and explore possible solutions. If mediation fails, the parties may still use formal legal procedures.",Mediation can be useful when parties wish to keep a relationship.,Mediation helps parties communicate.,Formal legal procedures may still be used if mediation fails.,A mediator imposes a final judgment on the parties.,4,조정자는 판결을 강제하지 않고 의사소통과 해결 탐색을 돕는다고 했다.,지역사회 조정은 모든 분쟁에서 법원을 대신하지 않는다. 그것은 보통 이웃이나 가족처럼 관계를 유지하고 싶은 사람들 사이에서 활용된다. 조정자는 판결을 강제하지 않는다. 대신 당사자들이 대화하고 가능한 해결책을 찾도록 돕는다. 조정이 성과를 거두지 못하면 당사자들은 여전히 정식 법적 절차를 이용할 수 있다.,mediator가 무엇을 하지 않는지 주목하세요. impose a judgment와 help communicate의 차이가 핵심입니다.
45,요약·주제형,주제 파악: 어려운 글은 빠른 읽기보다 느리고 세심한 독해가 필요함을 찾는 문제.,"다음 글의 주제로 가장 적절한 것은?
Many readers believe that faster reading always means better reading. Yet difficult texts often require slow attention. A legal clause, a scientific explanation, or a philosophical argument may turn on a single phrase. In such cases, speed can become a source of misunderstanding rather than efficiency.",why some texts require slow and careful reading,how to memorize every word quickly,the economic value of publishing,the history of public libraries,1,어려운 글은 느리고 주의 깊게 읽어야 한다는 내용이다.,"많은 독자는 빨리 읽는 것이 항상 더 잘 읽는 것이라고 믿는다. 그러나 어려운 글일수록 느리게 집중해서 읽어야 하는 경우가 많다. 법률 조항이나 과학적 설명, 철학적 논증은 단 하나의 표현에 의미가 걸려 있을 수 있다. 그런 경우에는 속도가 효율이 아니라 오해의 원인이 될 수 있다.",faster가 항상 better가 아니라는 대조가 글 전체를 이끕니다.
46,요약·주제형,요지 파악: 공적 약속이 시민의 합리적 의존을 만들 수 있어 신중히 다루어야 함을 찾는 문제.,"다음 글의 요지로 가장 적절한 것은?
A promise is not valuable merely because it is spoken. It becomes meaningful when others can reasonably rely on it. If a public official announces a policy and citizens arrange their lives around that announcement, sudden reversal may cause harm even if the first statement was not a formal contract.",Promises have no social function.,Public statements can create reliance that deserves careful consideration.,Only written contracts influence behavior.,Citizens should never trust public information.,2,공식 계약이 아니더라도 공적 발언이 시민의 신뢰와 의존을 만들 수 있다는 요지이다.,"약속은 말로 했다는 사실만으로 곧바로 의미를 갖는 것은 아니다. 다른 사람이 그것을 합리적으로 믿고 의지할 수 있을 때 비로소 의미를 갖는다. 공무원이 정책을 발표하고 시민들이 그 발표에 맞추어 자신의 삶을 계획한다면, 첫 번째 발언이 공식 계약이 아니었더라도 갑작스러운 번복은 해를 끼칠 수 있다.",공식 계약이 아니어도 사람들이 그 말에 맞춰 행동하면 신뢰와 의존이 생길 수 있습니다.
47,요약·주제형,추론: 도서관 컴퓨터가 일부 주민에게 공공서비스 접근 통로였음을 추론하는 문제.,"다음 글을 통해 추론할 수 있는 내용으로 가장 적절한 것은?
A library noticed that many visitors used computers to complete government forms. When the library reduced computer hours, complaints increased, especially from older residents and people without home internet. The library then restored some hours and added volunteer assistance.",All visitors came only to borrow printed novels.,Older residents preferred shorter computer hours.,"For some residents, the library served as an access point to public services.",Volunteer assistance was unrelated to digital access.,3,정부 양식 작성과 인터넷이 없는 사람의 불편이 나오므로 공공서비스 접근점 역할을 했다고 볼 수 있다.,"한 도서관은 많은 방문객이 정부 양식을 작성하려고 컴퓨터를 이용한다는 사실을 알게 되었다. 컴퓨터 이용 시간을 줄이자 불만이 늘었는데, 특히 고령 주민과 집에 인터넷이 없는 사람들이 그랬다. 도서관은 이후 이용 시간 일부를 되돌리고 자원봉사자의 도움을 추가했다.","도서관 컴퓨터가 단순 오락용인지, 정부 양식 작성과 인터넷 접근 문제와 관련되는지 보세요."
48,요약·주제형,요약 빈칸: 집단 침묵이 실제 합의가 아닌 합의처럼 보이는 착시를 만드는 개념을 찾는 문제.,"다음 글의 내용을 한 문장으로 요약할 때 빈칸에 들어갈 말로 가장 적절한 것은?
In group decisions, people sometimes accept a weak proposal because nobody wants to be the first to object. Each person assumes that everyone else supports the plan. The final decision may therefore reflect social pressure more than genuine agreement.
⇒ Silence in groups may create a false impression of ______.",weather change,physical strength,private ownership,consensus,4,집단의 침묵이 진정한 합의처럼 보이게 한다는 내용이다.,집단 의사결정에서는 아무도 먼저 반대하고 싶지 않다는 이유로 약한 제안이 그대로 받아들여지기도 한다. 각자는 다른 사람들이 그 계획을 지지한다고 짐작한다. 그래서 최종 결정은 진정한 합의보다 사회적 압력을 더 많이 반영할 수 있다.,"아무도 반대하지 않는 상황이 실제 동의인지, 사회적 압력의 결과인지 구별하세요."
49,요약·주제형,내용 불일치: 회복적 사법이 책임을 면제하는 것이 아니라 피해 회복과 책임 인정을 다룬다는 점을 확인하는 문제.,"다음 글의 내용과 일치하지 않는 것은?
Restorative justice focuses on repairing harm rather than merely imposing punishment. It may involve dialogue among victims, offenders, and community members when participation is voluntary and safe. The goal is not to excuse wrongdoing, but to acknowledge harm and consider meaningful responsibility.",Restorative justice excuses wrongdoing by avoiding responsibility.,It focuses on repairing harm.,Participation should be voluntary and safe.,It may include dialogue among affected people.,1,글은 잘못을 면제하는 것이 아니라 책임을 고려한다고 했다.,"회복적 사법은 단순히 처벌을 가하기보다 피해를 회복하는 데 초점을 둔다. 참여가 자발적이고 안전할 때, 피해자와 가해자, 지역사회 구성원 사이의 대화로 이어질 수 있다. 그 목표는 잘못을 없애 주는 것이 아니라 피해를 인정하고 의미 있는 책임을 고민하는 것이다.","wrongdoing을 excuse하는지, harm과 responsibility를 다루는지 문장을 정확히 비교하세요."
50,요약·주제형,주제 파악: 공공기록의 정확성이 행정 편의뿐 아니라 공정성과 연결됨을 찾는 문제.,"다음 글의 주제로 가장 적절한 것은?
Errors in public records may seem small, but they can have serious consequences. A misspelled name may delay a passport, an outdated address may cause a person to miss a hearing, and an incorrect birth date may block access to benefits. Accuracy in records is therefore a matter of fairness as well as administration.",the popularity of international travel,the importance of accurate public records,the history of spelling reforms,the benefits of handwritten letters,2,공공기록의 정확성이 행정뿐 아니라 공정성과도 관련된다는 내용이다.,"공공기록의 오류는 작아 보여도 심각한 결과를 낳을 수 있다. 이름의 철자가 틀리면 여권 발급이 늦어질 수 있고, 오래된 주소 때문에 심리에 나가지 못할 수도 있으며, 잘못된 생년월일은 복지 혜택을 받지 못하게 막을 수도 있다. 그러므로 기록의 정확성은 행정의 문제일 뿐 아니라 공정성의 문제이기도 하다.","이름, 주소, 생년월일 오류의 예시는 모두 공공기록 정확성의 중요성을 보여 줍니다."
51,빈칸추론형,표현의 자유 빈칸: 주장을 비판할 자유와 표현할 권리 보호를 구분하는 핵심을 묻는 문제.,A society that values free speech must tolerate many statements that are mistaken or unpopular. But tolerance does not require treating every claim as equally reliable. Public debate works best when people can criticize ideas while still protecting the ______ to express them.,habit,price,right,machine,3,표현의 자유는 주장에 대한 비판 가능성과 표현할 권리의 보호를 함께 전제한다.,표현의 자유를 소중히 여기는 사회는 잘못된 주장이나 인기 없는 의견도 상당 부분 용인해야 한다. 그러나 용인한다고 해서 모든 주장을 똑같이 신뢰할 만한 것으로 취급해야 하는 것은 아니다. 공적 토론은 사람들이 의견을 비판할 수 있으면서도 그것을 표현할 권리는 보호할 때 가장 잘 작동한다.,criticize ideas와 protecting the ____ to express them의 균형을 보세요.
52,어법오류찾기,가정법 도치와 수동태: Had the agency로 시작하는 가정법과 might have been 뒤의 과거분사를 확인하는 문제.,"다음 문장에서 어법상 틀린 부분을 고르시오.
Had the agency (1) disclosed the risk earlier, residents (2) could have taken precautions, and the damage (3) might have been significantly (4) reduce.",(1) disclosed,(2) could have taken,(3) might have been,(4) reduce,4,수동 완료형이므로 reduced가 필요하다.,"그 기관이 위험을 더 일찍 알렸더라면 주민들은 대비할 수 있었을 것이고, 피해도 크게 줄었을지 모른다.",might have been 뒤에는 수동태 완료의 형태가 이어집니다. 동사의 형태를 점검하세요.
53,어휘·독해형,공정성 어휘: impartiality가 사실 무관심이 아니라 편견 없는 판단임을 묻는 어휘 문제.,"다음 문장에서 빈칸에 들어갈 가장 적절한 어휘를 고르시오.
A judge must be impartial, but impartiality does not mean being indifferent to facts. It means evaluating each claim without ______.",bias,evidence,procedure,jurisdiction,1,impartiality는 편견 없이 판단하는 것이므로 bias가 맞다.,"판사는 공정해야 하지만, 공정하다는 것이 사실에 무관심하다는 뜻은 아니다. 그것은 어느 쪽으로도 치우치지 않고 각 주장을 평가한다는 뜻이다.",impartial과 indifferent는 다릅니다. 사실을 보되 어느 쪽으로도 기울지 않는 상태를 찾으세요.
54,순서배열형,"순서 배열-기능·확산·의미: 판결 요약의 역할, 이용 확산, 공공 참여 증가를 배열하는 문제.","주어진 글 다음에 이어질 글의 순서로 가장 적절한 것은?
A nonprofit group began publishing simple summaries of complex court decisions.
(A) The summaries did not replace the original decisions, but they helped citizens understand the main issues.
(B) As more people used them, journalists also began linking to the summaries when reporting legal news.
(C) The project showed that accessibility can increase public engagement with the legal system.",(B) - (A) - (C),(A) - (B) - (C),(C) - (A) - (B),(A) - (C) - (B),2,요약의 기능(A) → 이용 확산(B) → 프로젝트의 의미(C) 순서이다.,"한 비영리단체가 복잡한 판결문을 쉽게 요약해 공개하기 시작했다. 그 요약문은 원문을 대신하지는 않았지만, 시민들이 핵심 쟁점을 이해하는 데 도움이 되었다. 이용자가 늘어나자 기자들도 법률 뉴스를 다룰 때 그 요약문을 함께 링크하기 시작했다. 이 사례는 접근성을 높이면 대중의 법률 참여도 늘어날 수 있음을 보여 주었다.","첫 문장 뒤에는 요약이 어떤 기능을 했는지, 그다음 이용 확산, 마지막 의미 평가가 자연스럽습니다."
55,문장삽입형,문장 삽입-실질적 평등: 동일한 대우와 실제 접근 가능성의 차이를 정리하는 문장의 위치를 찾는 문제.,"주어진 문장이 들어가기 가장 적절한 곳을 고르시오.
[주어진 문장]
In other words, equal treatment may sometimes require different forms of support.
A courthouse that provides only stairs treats everyone the same in a narrow sense. ( [1] ) Everyone must use the same entrance. ( [2] ) But people using wheelchairs cannot actually enter on equal terms. ( [3] ) Ramps and elevators do not create unfair privilege; they make access real. ( [4] )",[1],[2],[3],[4],4,"경사로와 엘리베이터가 실제 접근을 보장한다는 문장 뒤에, 동등한 대우가 때로 다른 지원을 필요로 한다는 정리가 이어지는 것이 자연스럽다.","계단만 있는 법원은 좁은 의미에서는 모두를 똑같이 대우한다고 할 수 있다. 누구나 같은 출입구를 써야 하기 때문이다. 그러나 휠체어를 이용하는 사람들은 실제로 동등한 조건에서 들어갈 수 없다. 경사로와 엘리베이터는 부당한 특혜를 만드는 것이 아니라 접근을 현실로 만든다. 다시 말해, 실질적인 평등한 대우를 위해서는 때로 서로 다른 형태의 지원이 필요하다.",주어진 문장은 앞의 사례를 일반화합니다. Ramps and elevators가 실제 접근을 만든다는 설명 뒤를 보세요.
56,요약·주제형,요지 파악: 법적 정확성과 일반 독자의 명확한 이해가 함께 필요하다는 핵심을 찾는 문제.,"다음 글의 요지로 가장 적절한 것은?
Legal language can protect precision, but it can also exclude ordinary readers. A well-written public notice should keep necessary legal accuracy while removing unnecessary complexity. Clarity is not the enemy of law; it is one of the conditions for people to obey it knowingly.",Legal notices should be difficult to read.,Ordinary readers do not need legal information.,Precision and clarity can never coexist.,Legal accuracy should be combined with public clarity.,4,법적 정확성과 대중적 명확성을 함께 추구해야 한다는 요지이다.,"법률 언어는 정확성을 지켜 주지만 동시에 일반 독자를 배제할 수도 있다. 잘 쓰인 공적 고지문은 필요한 법적 정확성을 유지하면서도 불필요한 복잡함은 걷어내야 한다. 명확함은 법의 적이 아니라, 사람들이 법을 알고 따르게 하는 조건 중 하나다.",precision과 clarity를 대립으로만 보지 말고 함께 충족해야 할 조건으로 읽으세요.
57,빈칸추론형,연결어 빈칸: 긴장한 태도와 거짓말 증명 여부 사이의 대조 관계를 찾는 문제.,"The witness seemed nervous during direct examination. ______, her nervousness alone did not prove that she was lying; many truthful witnesses become anxious in court.",However,Therefore,Likewise,For example,1,긴장했지만 그것만으로 거짓을 증명하지는 않는 대조이므로 However가 적절하다.,그 증인은 직접신문 중 긴장한 듯 보였다. 그러나 긴장했다는 사실만으로 거짓말을 하고 있다고 단정할 수는 없다. 진실을 말하는 증인도 법정에서 불안해지는 경우가 많기 때문이다.,nervous와 did not prove lying 사이에는 대조가 있습니다. 연결어의 논리 관계를 보세요.
58,어법오류찾기,주어-동사 수일치: employees가 복수 주어이므로 who handle them 뒤 본동사의 수를 확인하는 어법 문제.,"다음 문장에서 어법상 틀린 부분을 고르시오.
Documents (1) containing personal data must be stored securely, and employees (2) who handle them (3) is required to complete annual training (4) on privacy rules.",(1) containing,(2) who handle,(3) is required,(4) on privacy rules,3,employees가 복수이므로 are required가 되어야 한다.,"개인정보가 담긴 문서는 안전하게 보관해야 하며, 이를 다루는 직원들은 매년 개인정보 보호 교육을 받아야 한다.",employees가 본동사의 주어입니다. who handle them은 중간에 끼어든 수식어입니다.
59,어휘·독해형,상소심 기능 어휘: 항소법원이 사실 전부를 다시 심리하지 않고 중대한 법적 오류를 검토함을 묻는 문제.,"다음 문장에서 빈칸에 들어갈 가장 적절한 어휘를 고르시오.
The appeal court did not retry every fact; it examined whether the lower court had made a serious legal ______.",festival,recipe,error,shelter,3,상급심은 법적 오류 여부를 살핀다는 내용이다.,항소법원은 모든 사실을 다시 심리하지 않았다. 대신 하급심이 중대한 법적 오류를 범했는지를 검토했다.,appeal court의 역할은 모든 사실을 처음부터 다시 보는 것이 아니라 하급심의 법적 문제를 살피는 것입니다.
60,요약·주제형,"내용 불일치: 법정 과학증거는 이해 가능성과 관련성을 갖춰야 하며, 관련 없는 증거는 혼란을 줄 수 있음을 확인하는 문제.","다음 글의 내용과 일치하지 않는 것은?
Scientific evidence in court must be explained in language that judges and jurors can understand. Experts may use technical methods, but their conclusions should be connected to the legal question at issue. Evidence that is impressive but irrelevant may confuse rather than assist the decision maker.",Experts may use technical methods.,Scientific conclusions should relate to the legal issue.,Unclear or irrelevant evidence may confuse decision makers.,Impressive scientific evidence is always useful even when it is irrelevant.,4,글은 관련 없는 인상적인 증거가 의사결정자에게 도움보다 혼란을 줄 수 있다고 설명한다.,"법정에서 다루는 과학적 증거는 판사와 배심원이 이해할 수 있는 말로 설명되어야 한다. 전문가는 전문적인 방법을 쓸 수 있지만, 그 결론은 해당 사건의 법적 쟁점과 연결되어야 한다. 인상적이지만 관련 없는 증거는 의사결정자를 돕기보다 오히려 혼란스럽게 만들 수 있다.",전문적이고 인상적인 증거라도 legal question과 연결되는지 확인해야 합니다. always라는 표현을 조심하세요.
